id|airport_code|code
221|FRU|KGZ0000GB000
222|CEI|THA000057000
223|VIE|AUT000VDD000
224|LUX|LUX0000LL000
225|GVA|CHE0000GE000
226|BTK|RUS000002000
227|HTA|RUS000CHI000
228|IKT|RUS000IKT000
229|KUF|RUS000SAM000
230|BBU|ROU0000BC000
231|OTP|ROU0000BC000
232|VGT|USA0NVLAS000
233|LAS|USA0NVLAS000
234|LSV|USA0NVLAS000
235|HSH|USA0NVLAS000
236|IAD|USA0WA000000
237|JPN|USA0WA000000
238|BOF|USA0WA000000
239|DCA|USA0WA000000
240|AKL|NZL000AUK000
241|CBR|AUSACT000000
242|BNE|AUSQLDBNE000
243|PER|AUS0WAPER000
244|DRW|AUS0NTDRW000
245|CPT|ZAF000CPT000
246|JNB|ZAF000JNB000
247|HCS|ZAF000JNB000
248|GCJ|ZAF000JNB000
249|QRA|ZAF000JNB000
250|FLR|ITA000FLR000
251|VCE|ITA000VCE000
252|TSF|ITA000VCE000
253|UPB|CUB000002000
254|HAV|CUB000002000
255|AZP|MEX000MEX000
256|NLU|MEX000MEX000
257|MEX|MEX000MEX000
258|PDX|USA0ORTTD000
259|PHX|USA0AZPHX000
260|SCF|USA0AZPHX000
261|MSC|USA0AZPHX000
262|AZA|USA0AZPHX000
263|DVT|USA0AZPHX000
264|LUF|USA0AZPHX000
265|CLD|USA0CASAN000
266|NKX|USA0CASAN000
267|MYF|USA0CASAN000
268|NZY|USA0CASAN000
269|SEE|USA0CASAN000
270|SDM|USA0CASAN000
271|SAN|USA0CASAN000
272|DEN|USA0CODEN000
273|APA|USA0CODEN000
274|BFK|USA0CODEN000
275|BJC|USA0CODEN000
276|SLC|USA0UTSLC000
277|SPX|USA0TXHOU000
278|SGR|USA0TXHOU000
279|AAP|USA0TXHOU000
280|CXO|USA0TXHOU000
281|DWH|USA0TXHOU000
282|EFD|USA0TXHOU000
283|JMA|USA0TXHOU000
284|JPT|USA0TXHOU000
285|JWH|USA0TXHOU000
286|JWL|USA0TXHOU000
287|IAH|USA0TXHOU000
288|HOU|USA0TXHOU000
289|JGP|USA0TXHOU000
290|JGQ|USA0TXHOU000
291|JDX|USA0TXHOU000
292|IWS|USA0TXHOU000
293|JDM|USA0FLMIA000
294|TNT|USA0FLMIA000
295|TMB|USA0FLMIA000
296|OPF|USA0FLMIA000
297|MPB|USA0FLMIA000
298|MIA|USA0FLMIA000
299|JBC|USA0MABZD000
300|BOS|USA0MABZD000
301|ATL|USA0GATAT000
302|JGL|USA0GATAT000
303|JAE|USA0GATAT000
304|JAJ|USA0GATAT000
305|JAO|USA0GATAT000
306|FTY|USA0GATAT000
307|PDK|USA0GATAT000
308|RBD|USA0ORDAC000
309|JDB|USA0ORDAC000
310|JMD|USA0ORDAC000
311|JNH|USA0ORDAC000
312|ADS|USA0ORDAC000
313|DNE|USA0ORDAC000
314|DFW|USA0ORDAC000
315|DAL|USA0ORDAC000
316|EDI|GBRSCTEDH000
317|BCN|ESP000BCN000
318|YJD|ESP000BCN000
319|QKU|DEU000CGN000
320|CGN|DEU000CGN000
321|ATH|GRC000ATH000
322|MRS|FRA000MRS000
323|LYN|FRA000LIO000
324|LYS|FRA000LIO000
325|GRX|ESP000GRX000
326|RTM|NLD000RTM000
327|UTC|NLD000001000
328|OXF|GBRENGOXF000
329|MAN|GBRENGMAN000
330|HKT|THA000001000
331|CNS|AUSQLDCNS000
332|ASW|EGY000ASW000
333|DAC|BGD000DAC000
334|KOJ|JPN000046000
335|CJU|KOR000001000
336|JSP|KOR000001000
337|JCJ|KOR000001000
338|KWJ|KOR029000000
339|SZG|AUT000SZG000
340|BDO|IDN000001000
341|JOG|IDN000002000
342|SHJ|ARE0000SH000
343|FRN|USA0AKANC000
344|ANC|USA0AKANC000
345|EDF|USA0AKANC000
346|MRI|USA0AKANC000
347|UAM|GUM000000000
348|GUM|GUM000000000
349|AMD|IND000001000
350|CCU|IND000CCU000
351|YMX|CAN000MTR000
352|YUL|CAN000MTR000
353|YHU|CAN000MTR000
354|YRO|CAN000OTT000
355|YND|CAN000OTT000
356|YOW|CAN000OTT000
357|MGL|DEU000DUS000
358|NRN|DEU000DUS000
359|DUS|DEU000DUS000
360|HAM|DEU0000HH000
361|LBC|DEU0000HH000
362|XFW|DEU0000HH000
363|NUE|DEU000NUE000
364|STR|DEU000STR000
365|DHF|ARE0000AZ000
366|AYM|ARE0000AZ000
367|AZI|ARE0000AZ000
368|AUH|ARE0000AZ000
369|GIG|BRA0000RJ000
370|SNZ|BRA0000RJ000
371|SDU|BRA0000RJ000
372|MVD|URY0000MO000
373|PIT|USA0PAPIT000
374|AGC|USA0PAPIT000
375|CVA|USA0PAPIT000
376|VLL|ESP000001000
377|SCQ|ESP000002000
378|NCE|FRA000NCE000
379|BFS|GBRNIRBFS000
380|BHD|GBRNIRBFS000
381|GCI|GBR000001000
382|GLA|GBRSCTGLG000
383|PIK|GBRSCTGLG000
384|KAN|NGA000KAN000
385|LOS|NGA000LOS000
386|MRU|MUS000000000
387|VNO|LTU0000VI000
388|RUH|SAU0000RD000
