tenant_id,deleted,id,code_oid,name,enabled,type_flag,code
0,0,66,35c37e10-88c0-11e8-92cb-8c16454fa0fb,交易核算段取值方式,1,1002,2213
0,0,67,38e332c2-88c0-11e8-92cb-8c16454fa0fb,供应商行业类别,1,1002,2214
0,0,68,38e4228f-88c0-11e8-92cb-8c16454fa0fb,供应商评级,1,1002,2215
0,0,69,d0a8bac4-49c7-11e8-b507-00163e1c8bb1,操作实体,1,1002,4001
0,0,70,43fbc058-88c0-11e8-92cb-8c16454fa0fb,配置中心-免贴票管控,1,1002,3001
0,0,71,43fbcb3f-88c0-11e8-92cb-8c16454fa0fb,配置中心-报销单免打印管控,1,1002,3002
0,0,72,43fbd82e-88c0-11e8-92cb-8c16454fa0fb,配置中心-费用抬头管控,1,1002,3003
0,0,73,43fbe306-88c0-11e8-92cb-8c16454fa0fb,配置中心-报销单抬头一致性管控,1,1002,3004
0,0,74,43fbf6be-88c0-11e8-92cb-8c16454fa0fb,配置中心-免贴票管控-费用标签,1,1002,3005
0,0,75,44ba09ea-88c0-11e8-92cb-8c16454fa0fb,配置中心-发票生成费用管控,1,1002,3006
0,0,76,44c6a9f2-88c0-11e8-92cb-8c16454fa0fb,配置中心-发票生成费用管控-验真返回码,1,1002,3007
0,0,77,44d4f260-88c0-11e8-92cb-8c16454fa0fb,配置中心-发票生成费用管控-是否未知,1,1002,3008
0,0,1133,785529b7-fc84-1713-e053-040011acd959,数据类型,1,1002,3101
0,0,1134,785529b7-fc89-1713-e053-040011acd959,数据范围,1,1002,3102
0,0,1135,785529b7-fc8e-1713-e053-040011acd959,数据取值方式,1,1002,3103
0,0,1172,7ca31c46-215d-1b8e-e053-040011aca108,数据筛选方式,1,1002,3104
0,0,100001,a56f368b-768c-4b39-8725-3deba456cca6,审批单据类型,1,1002,SYS_APPROVAL_FORM_TYPE
